transaction_id,timestamp,transaction_type,amount,day_of_week,source
W0,2023-08-19 03:32:00,P2M,1525.39,Saturday,wallet
W1,2023-08-19 04:37:00,P2M,1495.4,Saturday,wallet
W2,2023-08-19 05:52:00,P2M,1267.71,Saturday,wallet
W4,2023-08-19 06:36:00,P2M,3100.58,Saturday,wallet
W7,2023-08-19 07:57:00,P2M,1802.28,Saturday,wallet
W8,2023-08-19 09:14:00,P2M,4262.28,Saturday,wallet
W9,2023-08-19 10:01:00,P2M,2207.9,Saturday,wallet
W10,2023-08-19 10:15:00,P2M,3186.45,Saturday,wallet
W11,2023-08-19 11:25:00,P2M,403.2,Saturday,wallet
W14,2023-08-19 14:23:00,P2M,3101.18,Saturday,wallet
W15,2023-08-19 15:34:00,P2M,1440.26,Saturday,wallet
W16,2023-08-19 15:39:00,P2M,2402.15,Saturday,wallet
W17,2023-08-19 16:08:00,P2M,3595.19,Saturday,wallet
W19,2023-08-19 18:01:00,P2M,307.81,Saturday,wallet
W21,2023-08-19 20:14:00,P2M,1558.03,Saturday,wallet
W22,2023-08-19 20:29:00,P2M,2699.87,Saturday,wallet
W23,2023-08-20 01:59:00,P2M,2991.37,Sunday,wallet
W26,2023-08-20 06:14:00,P2M,2956.08,Sunday,wallet
W30,2023-08-20 15:20:00,P2M,1916.58,Sunday,wallet
W31,2023-08-20 16:29:00,P2M,2014.63,Sunday,wallet
W32,2023-08-20 17:38:00,P2M,1296.33,Sunday,wallet
W35,2023-08-20 18:16:00,P2M,1760.92,Sunday,wallet
W40,2023-08-20 22:06:00,P2M,2578.28,Sunday,wallet
W41,2023-08-20 22:20:00,P2M,3855.29,Sunday,wallet
W42,2023-08-20 23:10:00,P2M,1446.76,Sunday,wallet
W43,2023-08-21 00:57:00,P2M,3090.15,Monday,wallet
W44,2023-08-21 01:16:00,P2M,1203.62,Monday,wallet
W45,2023-08-21 03:53:00,P2M,372.6,Monday,wallet
W48,2023-08-21 05:28:00,P2M,1044.85,Monday,wallet
W49,2023-08-21 05:49:00,P2M,408.34,Monday,wallet
W52,2023-08-21 16:33:00,P2M,4910.93,Monday,wallet
W56,2023-08-21 19:43:00,P2M,4849.13,Monday,wallet
W58,2023-08-22 02:57:00,P2M,748.75,Tuesday,wallet
W59,2023-08-22 05:04:00,P2M,615.89,Tuesday,wallet
W60,2023-08-22 10:37:00,P2M,96.7,Tuesday,wallet
W62,2023-08-22 13:11:00,P2M,3771.14,Tuesday,wallet
W65,2023-08-22 20:00:00,P2M,3424.46,Tuesday,wallet
W66,2023-08-22 20:38:00,P2M,2896.65,Tuesday,wallet
W68,2023-08-22 22:29:00,P2M,1188.69,Tuesday,wallet
W69,2023-08-22 23:43:00,P2M,2938.73,Tuesday,wallet
W70,2023-08-23 00:17:00,P2M,2189.95,Wednesday,wallet
W71,2023-08-23 00:40:00,P2M,4691.67,Wednesday,wallet
W72,2023-08-23 02:01:00,P2M,857.92,Wednesday,wallet
W75,2023-08-23 05:31:00,P2M,3426.77,Wednesday,wallet
